book_name,website,d3js,r,c,stan,optimization,stata,dashboard,spss,shell,linux,regression,dimension,forecast,algorithm,nonparametric,sql,python,nosql,postgresql,ruby,scala,java,perl,shiny,php,sampling,html5,tableau,markdown,hadoop,mapreduce,sas,matlab,excel,ppt,spark,julia,aws,mongodb,javascript,hbase,pig,hive,zookeeper,deep learning,classify,bayes,gis,machine learning,survival,multilevel,data mining,linear,visualization,predict,analytic,design,nlp,recommend,supervised,unsupervised,cluster,model,hierarchical,etl,vision,time_series,github,google+,bigdata
Statistical Analysis for High-Dimensional Data,http://www.springer.com/us/book/9783319270975,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Optimization Models,http://www.amazon.com/Optimization-Models-Giuseppe-C-Calafiore/dp/1107050871/ref=sr_1_1?s=books&ie=UTF8&qid=1461639269&sr=1-1&keywords=Optimization+Models,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sampling: Design and Analysis,http://www.amazon.com/Sampling-Analysis-Sharon-L-Lohr/dp/0534353614/ref=sr_1_1?s=books&ie=UTF8&qid=1461639281&sr=1-1&keywords=Sampling%3A+Design+and+Analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
An Introduction to PHP for Scientists and Engineers,http://www.amazon.com/Introduction-PHP-Scientists-Engineers-JavaScript/dp/184800236X/ref=sr_1_1?s=books&ie=UTF8&qid=1461639290&sr=1-1&keywords=An+Introduction+to+PHP+for+Scientists+and+Engineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Getting Started with Data Science: Making Sense of Data with Analytics ,http://www.amazon.com/Getting-Started-Data-Science-Analytics/dp/0133991024/ref=sr_1_1?s=books&ie=UTF8&qid=1461639302&sr=1-1&keywords=Getting+Started+with+Data+Science%3A+Making+Sense+of+Data+with+Analytics,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
Mastering Excel: Building Dashboards,http://www.amazon.com/Mastering-Excel-Dashboards-Mark-Moore-ebook/dp/B00XKNCBQK/ref=sr_1_1?s=books&ie=UTF8&qid=1461639322&sr=1-1&keywords=Mastering+Excel%3A+Building+Dashboards,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Quantitative Data Analysis Using SPSS,http://www.amazon.com/Quantitative-Data-Analysis-Using-SPSS/dp/0335223060/ref=sr_1_1?s=books&ie=UTF8&qid=1461639342&sr=1-1&keywords=Quantitative+Data+Analysis+Using+SPSS,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unix Shell Programming,http://www.amazon.com/Unix-Shell-Programming-Stephen-Kochan/dp/0672324903/ref=sr_1_1?s=books&ie=UTF8&qid=1461639353&sr=1-1&keywords=Unix+Shell+Programming,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Linux Command Line,http://www.amazon.com/Linux-Command-Line-Complete-Introduction/dp/1593273894/ref=sr_1_1?s=books&ie=UTF8&qid=1461639367&sr=1-1&keywords=Linux+Command+Line,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Data Analysis Using Regression and Multilevel/Hierarchical Models,http://www.amazon.com/Analysis-Regression-Multilevel-Hierarchical-Models/dp/052168689X/ref=sr_1_1?ie=UTF8&qid=1461639380&sr=8-1&keywords=Data+Analysis+Using+Regression+and+Multilevel%2FHierarchical+Models,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,
